subj_full,fed_district_full,fed_district_short,subj_alt_rus,subj_eng,subj_rus,col,row,dataset_subj,Площадь чиновника,Площадь средняя,region_id,year,a_income,a_squares,a_squares2,a_cor,b_income,b_squares
Алтайский край,Сибирский федеральный округ,СФО,Ал. к.,ALK,АЛТК,12,5,Алтайский край,558.7,23.1,24,2015,361912,558.7,104852756.7,0.0736,20985.0,23.1
Амурская область,Дальневосточный федеральный округ,ДФО,Амур,AMU,АМУР,15,3,Амурская область,380.1,24.3,33,2015,125902,380.1,4199.5,0.1499,30197.0,24.3
Архангельская область,Северо-Западный федеральный округ,СЗФО,Арх,ARH,АРХ,8,2,Архангельская область,867.8,26.6,37,2015,156076,867.8,23969.3,0.372,32585.0,26.6
Астраханская область,Южный федеральный округ,ЮФО,Аст,AST,АСТ,7,8,Астраханская область,547.5,22.8,38,2015,317701,547.5,38495.0,0.5625,24057.0,22.8
Брянская область,Центральный федеральный округ,ЦФО,Бря,BRN,БРН,2,5,Брянская область,317.8,28.1,35,2015,155506,317.8,2569.4,0.5369,25362.0,28.1
Владимирская область,Центральный федеральный округ,ЦФО,Вла,VLA,ВЛА,5,4,Владимирская область,1376.5,27.2,36,2015,719447,1376.5,2728114.8,0.7594,23729.0,27.2
Волгоградская область,Южный федеральный округ,ЮФО,Волг,VGG,ВЛГГ,6,7,Волгоградская область,594.0,23.3,41,2015,317246,594.0,1025.8,0.5535,21719.0,23.3
Вологодская область,Северо-Западный федеральный округ,СЗФО,Воло,VGD,ВЛГД,4,2,Вологодская область,5372.9,28.5,42,2015,103372,5372.9,737.5,-0.0628,25582.0,28.5
Воронежская область,Центральный федеральный округ,ЦФО,Вор,VRN,ВРН,5,7,Воронежская область,498.2,28.3,43,2015,164156,498.2,442567.5,0.068,29922.0,28.3
Забайкальский край,Сибирский федеральный округ,СФО,Заб,ZAB,ЗАБ,14,5,Забайкальский край,558.3,20.4,44,2015,205598,558.3,258271.1,0.1412,22980.0,20.4
Иркутская область,Сибирский федеральный округ,СФО,Ирк,IRK,ИРК,14,3,Иркутская область,2775.6,23.1,45,2015,4540129,2775.6,2845723.1,0.3652,22445.0,23.1
Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,СКФО,Каб,KBR,КБР,4,10,Кабардино-Балкарская Республика,2091.7,18.9,9,2015,1419126,2091.7,55376.0,0.0126,19102.0,18.9
Калининградская область,Северо-Западный федеральный округ,СЗФО,Кали,KLN,КЛН,0,3,Калининградская область,324.8,26.7,46,2015,90092,324.8,3305.0,0.4858,25875.0,26.7
Камчатский край,Дальневосточный федеральный округ,ДФО,Кам,KAM,КАМ,17,1,Камчатский край,462.2,25.2,48,2015,156080,462.2,1952.8,0.1103,41029.0,25.2
Камчатский край,Дальневосточный федеральный округ,ДФО,Кам,KAM,КАМ,17,1,Камчатский край,462.2,25.2,48,2015,156080,462.2,1952.8,0.1103,41029.0,25.2
Кемеровская область,Сибирский федеральный округ,СФО,Кем,KEM,КЕМ,13,3,Кемеровская область,352.5,23.7,50,2015,147995,352.5,4283.5,0.2941,21827.0,23.7
Кировская область,Приволжский федеральный округ,ПФО,Кир,KIR,КИР,8,3,Кировская область,345.2,25.0,51,2015,277708,345.2,1050.0,0.1332,22149.0,25.0
Костромская область,Центральный федеральный округ,ЦФО,Кос,KOS,КОСТ,6,3,Костромская область,363.8,26.6,53,2015,165038,363.8,3196.2,0.2993,22442.0,26.6
Краснодарский край,Южный федеральный округ,ЮФО,Крдр,KRD,КРНД,4,8,Краснодарский край,438.8,24.4,27,2015,266502,438.8,1051.7,0.6701,31375.0,24.4
Красноярский край,Сибирский федеральный округ,СФО,Крас,KRN,КРСН,13,2,Красноярский край,397.7,23.9,28,2015,259838,397.7,1374.0,0.1327,27102.0,23.9
Курская область,Центральный федеральный округ,ЦФО,Курск,KSK,КРСК,3,6,Курская область,324.8,28.7,55,2015,118629,324.8,5645.6,0.1186,25801.0,28.7
Ленинградская область,Северо-Западный федеральный округ,СЗФО,Лен,LEN,ЛЕН,2,2,Ленинградская область,552.1,25.7,56,2015,132012,552.1,2138.7,0.3547,24747.0,25.7
