"id","region",square2005,square2010,square2011,square2012,square2013,square2014,square2015,square2016,square2017,income2005,income2010,income2011,income2012,income2013,income2014,income2015,income2016,income2017,"Место"
"24",Алтайский край,20.1,21.8,22.1,22.4,22.4,22.7,23.1,23.5,23.8,4640,11029,12500,13617,15979,18434,20985,21497,22165,68
"33",Амурская область,20.6,22.2,22.5,23.0,23.2,23.8,24.3,24.6,24.9,5988,14323,17790,21800,24671,26765,30197,29661,30663,21
"37",Архангельская область,23.5,25.3,25.4,25.9,25.6,26.1,26.6,27.0,27.5,7903,19609,21455,23142,26262,29432,32585,32507,33161,
"38",Астраханская область,19.2,21.0,21.4,21.8,21.9,22.3,22.8,23.4,23.7,5636,14697,16032,17789,19777,22169,24057,22767,22519,65
"96",Белгородская область,23.0,25.7,26.3,27.0,27.4,28.3,29.1,29.9,30.6,5276,16993,18800,21659,23735,25372,28331,29591,30074,22
"35",Брянская область,23.1,25.2,25.6,26.1,26.6,27.5,28.1,28.7,29.4,4788,13358,15348,17469,20152,22039,25362,25349,26402,40
"36",Владимирская область,23.0,25.0,25.5,26.2,25.6,26.8,27.2,27.8,28.5,4107,12956,14312,16229,18796,20569,23729,22866,23988,55
"41",Волгоградская область,20.0,21.3,21.6,22.0,22.3,22.8,23.3,23.7,24.0,5908,13775,14519,16011,17590,19056,21719,20749,21357,72
"42",Вологодская область,23.8,26.1,26.7,27.0,27.1,28.0,28.5,29.1,29.6,6345,14115,15638,18248,20513,22801,25582,27346,26489,38
"43",Воронежская область,23.4,25.8,26.2,26.6,27.3,27.7,28.3,28.8,29.4,5398,13883,15909,18948,22056,25505,29922,29576,29327,23
"93",Еврейская автономная область,20.8,22.1,22.6,23.0,21.2,21.6,22.0,22.4,23.0,6406,15348,16525,18450,20417,21935,24427,23720,23386,59
"44",Забайкальский край,18.6,19.5,19.7,20.0,20.0,20.1,20.4,20.7,21.0,5908,14205,15969,17546,19886,20520,22980,22885,23267,60
"99",Ивановская область,22.4,23.9,24.2,24.5,24.7,25.0,25.2,25.7,26.2,3480,11124,13006,16015,18123,20409,22556,23684,24760,48
"45",Иркутская область,20.0,21.4,21.7,22.1,22.3,22.7,23.1,24.2,24.6,7119,15110,16017,17820,19425,20224,22445,22268,22412,66
"9",Кабардино-Балкарская Республика,16.8,18.0,18.2,18.4,18.7,18.8,18.9,19.1,19.4,4190,11290,12636,13717,15297,16619,19102,19830,20385,75
"46",Калининградская область,20.0,23.6,24.0,24.3,24.9,25.6,26.7,27.5,28.1,6481,16040,16880,19456,20642,23117,25875,25913,26527,37
"97",Калужская область,22.9,25.2,25.8,26.3,26.8,27.6,28.3,28.8,29.6,5343,15477,17557,20742,23182,24984,27703,28610,28108,29
"48",Камчатский край,22.4,24.2,24.4,24.7,24.6,25.0,25.2,25.5,25.5,11167,27010,28965,31764,35371,37030,41029,41058,42342,8
"11",Карачаево-Черкесская Республика,17.9,18.8,19.4,20.0,20.1,20.4,20.6,20.7,20.9,4084,10878,11742,13388,14664,16109,17268,16895,17142,82
"50",Кемеровская область,20.4,22.0,22.4,22.7,23.1,23.4,23.7,24.3,24.6,7889,15341,16666,18511,19697,20193,21827,21263,21849,69
"51",Кировская область,21.2,22.8,23.2,23.6,24.0,24.5,25.0,25.6,26.1,4644,13331,14675,16733,18012,20329,22149,21303,21560,71
"53",Костромская область,23.8,25.1,25.4,25.7,25.7,26.0,26.6,26.9,27.4,4985,13315,14574,15867,17575,19320,22442,23981,24745,49
"27",Краснодарский край,19.3,22.4,22.6,23.1,23.3,23.8,24.4,25.0,25.7,5545,16892,18796,21686,25777,28788,31375,32798,33136,16
"28",Красноярский край,21.0,22.5,22.7,22.9,23.0,23.3,23.9,24.3,24.6,7790,18262,20145,22524,24922,24806,27102,28035,28047,30
"98",Курганская область,19.7,22.1,22.5,23.0,23.5,24.0,24.5,25.0,4800,13499,14353,16129,17583,18850,20581,20454,20777,74
"55",Курская область,23.2,26.5,27.0,27.4,27.8,28.3,28.7,29.3,30.0,5218,14685,16387,18866,20809,23188,25801,25821,26425,39
"56",Ленинградская область,23.5,25.8,26.2,26.6,22.2,24.5,25.7,27.1,28.4,5687,14798,15932,17967,20161,20932,24747,27172,27998,31
"57",Липецкая область,22.7,25.7,26.2,26.6,27.2,27.8,28.4,29.2,30.3,5591,15936,16811,19829,22222,25263,27665,28466,29294,24
"58",Магаданская область,26.6,28.4,28.6,29.0,29.0,29.3,29.7,29.8,30.1,11167,27801,30452,36620,42463,45846,50173,50755,53633,5
"63",Москва,18.5,18.7,18.7,19.3,19.2,19.2,19.1,19.1,19.3,24014,44051,47319,48935,54869,54504,59850,59205,62532,4
"64",Московская область,24.3,28.8,29.6,29.8,26.7,29.4,33.4,33.7,31.8,7445,22641,25605,30572,32739,34948,37702,40539,41286,10
"65",Мурманская область,23.2,24.3,24.5,24.7,24.5,24.7,25.1,25.1,25.3,10624,24047,25303,28932,32912,34149,36848,36116,37108,13
"102",Ненецкий автономный округ,19.5,24.4,22.0,21.8,22.3,23.0,23.7,24.7,25.0,21502,52270,54632,62323,66276,66491,70871,69959,70121,3
"66",Нижегородская область,22.1,24.0,24.4,24.8,25.1,25.5,26.1,26.3,26.7,6057,16477,18337,21732,24503,27930,30839,30614,30742,20
