"id","name","name_ru","name_en","parent_name","fullname","parent"
"231","1 series","1 series","null","BMW","","11"
"190","10","10","null","Aro","","7"
"1318","10","10","null","Renault","","96"
"205","100","100","null","Audi","","10"
"1363","100","100","null","Rover","","99"
"948","1000","1000","null","Maruti","","74"
"1247","1007","1007","null","Peugeot","","91"
"2222","100D","100D","null","Mercedes-Benz ","","79"
"1115","100NX","100NX","null","Nissan","","85"
"1421","105, 120","105, 120","null","Skoda","","108"
"1248","106","106","null","Peugeot","","91"
"1249","107","107","null","Peugeot","","91"
"1319","11","11","null","Renault","","96"
"1734","1111","1111","null","ВАЗ","","132"
"1808","1111","1111","null","СеАЗ","","136"
"1809","1111","1111","null","КАМАЗ","","137"
"2230","111740","111740","null","ВАЗ","","132"
"2051","11193 (ВАЗ)","11193 (ВАЗ)","null","ВАЗ","","132"
"1821","114","114","null","ЗИЛ","","139"
"1822","115","115","null","ЗИЛ","","139"
"2181","116i","116i","null","BMW","","11"
"1823","117","117","null","ЗИЛ","","139"
"2187","118i","118i","null","BMW","","11"
"1767","12 / ЗИМ","12 / ЗИМ","null","ГАЗ","","134"
"969","121","121","null","Mazda","","77"
"572","124","124","null","Fiat","","39"
"573","126","126","null","Fiat","","39"
"574","127","127","null","Fiat","","39"
"1768","13","13","null","ГАЗ","","134"
"1824","130","130","null","ЗИЛ","","139"
"1835","1302","1302","null","ЛУАЗ","","141"
"425","1304","1304","null","Dacia","","25"
"1506","1307-1510","1307-1510","null","Talbot","","115"
"575","131","131","null","Fiat","","39"
"426","1310","1310","null","Dacia","","25"
"427","1325","1325","null","Dacia","","25"
"1769","14","14","null","ГАЗ","","134"
"1320","14","14","null","Renault","","96"
"1689","140","140","null","Volvo","","125"
"428","1410","1410","null","Dacia","","25"
"163","145","145","null","Alfa Romeo","","5"
"164","146","146","null","Alfa Romeo","","5"
"165","147","147","null","Alfa Romeo","","5"
"166","155","155","null","Alfa Romeo","","5"
"167","156","156","null","Alfa Romeo","","5"
"168","159","159","null","Alfa Romeo","","5"
"169","164","164","null","Alfa Romeo","","5"
"1690","164","164","null","Volvo","","125"
"170","166","166","null","Alfa Romeo","","5"
"1770","17310","17310","null","ГАЗ","","134"
"1321","18","18","null","Renault","","96"
"1116","180SX","180SX","null","Nissan","","85"
"1322","19","19","null","Renault","","96"
"1735","1922","1922","null","ВАЗ","","132"
"970","2","2","null","Mazda","","77"
"206","200","200","null","Audi","","10"
"1364","200","200","null","Rover","","99"
"1117","200SX","200SX","null","Nissan","","85"
"1250","204","204","null","Peugeot","","91"
"1251","205","205","null","Peugeot","","91"
"1252","206","206","null","Peugeot","","91"
"681","206","206","null","Geo","","43"
"1253","207","207","null","Peugeot","","91"
"544","208","208","null","Ferrari","","38"
"2305","208","208","","Peugeot","","91"
"1323","21","21","null","Renault","","96"
"1771","21","21","null","ГАЗ","","134"
"1736","2101","2101","null","ВАЗ","","132"
"2047","21011 ","21011 ","null","ВАЗ","","132"
"1737","2102","2102","null","ВАЗ","","132"
"1738","2103","2103","null","ВАЗ","","132"
"1739","2104","2104","null","ВАЗ","","132"
"2117","21043","21043","null","ВАЗ","","132"
"1740","2105","2105","null","ВАЗ","","132"
"2128","21053","21053","null","ВАЗ","","132"
"2185","210540","210540","null","ВАЗ","","132"
"1741","2106","2106","null","ВАЗ","","132"
"1955","21060","21060","null","ВАЗ","","132"
"1966","21063 ","21063 ","null","ВАЗ","","132"
"1742","2107","2107","null","ВАЗ","","132"
"1743","2108","2108","null","ВАЗ","","132"
"1744","2109","2109","null","ВАЗ","","132"
"1883","21093","21093","null","ВАЗ","","132"
"1745","21099","21099","null","ВАЗ","","132"
"1746","2110","2110","null","ВАЗ","","132"
"1747","2111","2111","null","ВАЗ","","132"
"1748","2112","2112","null","ВАЗ","","132"
"1749","2113","2113","null","ВАЗ","","132"
"1750","2114","2114","null","ВАЗ","","132"
"1988","21140","21140","null","ВАЗ","","132"
"1751","2115","2115","null","ВАЗ","","132"
"2126","21150","21150","null","ВАЗ","","132"
"1829","2117","2117","null","ИЖ","","140"
"1752","2120","2120","null","ВАЗ","","132"
"1753","2121","2121","null","ВАЗ","","132"
"2282","21213","21213","","ВАЗ","","132"
"2132","21214","21214","null","ВАЗ","","132"
"1754","2123","2123","null","ВАЗ","","132"
"1830","2125","2125","null","ИЖ","","140"
"1842","2125","2125","null","Москвич","","142"
"1831","2126 / Ода","2126 / Ода","null","ИЖ","","140"
"1755","2129","2129","null","ВАЗ","","132"
"1365","213","213","null","Rover","","99"
"1756","2131","2131","null","ВАЗ","","132"
"2229","2134","2134","null","Москвич","","142"
"1843","2135","2135","null","Москвич","","142"
"1844","2137","2137","null","Москвич","","142"
"1845","2138","2138","null","Москвич","","142"
"1846","2140","2140","null","Москвич","","142"
"1847","2141","2141","null","Москвич","","142"
"2264","21412","21412","null","Москвич","","142"
"2144","21Р","21Р","null","ГАЗ","","134"
"1772","22","22","null","ГАЗ","","134"
"1862","2206","2206","null","УАЗ","","143"
"1949","220606 ","220606 ","null","УАЗ","","143"
"2283","22069","22069","","УАЗ","","143"
"1773","2217","2217","null","ГАЗ","","134"
"1774","22171","22171","null","ГАЗ","","134"
"954","228","228","null","Maserati","","75"
"1775","2308","2308","null","ГАЗ","","134"
"1889","230GE","230GE","null","PUCH","","88"
"1776","2310","2310","null","ГАЗ","","134"
"1757","2328","2328","null","ВАЗ","","132"
"1758","2329","2329","null","ВАЗ","","132"
"1777","2330","2330","null","ГАЗ","","134"
"1970","233001 ","233001 ","null","ГАЗ","","134"
"1759","2345","2345","null","ВАЗ","","132"
"1760","2346","2346","null","ВАЗ","","132"
"1761","2347","2347","null","ВАЗ","","132"
"1958","23602","23602","null","УАЗ","","143"
"1863","2362","2362","null","УАЗ","","143"
"1892","23632","23632","null","УАЗ","","143"
"1762","2364","2364","null","ВАЗ","","132"
"1778","24","24","null","ГАЗ","","134"
"191","24","24","null","Aro","","7"
"1779","24-10","24-10","null","ГАЗ","","134"
"1691","240","240","null","Volvo","","125"
"1780","2402","2402","null","ГАЗ","","134"
"1118","240SX","240SX","null","Nissan","","85"
"576","242","242","null","Fiat","","39"
"192","243","243","null","Aro","","7"
"193","244","244","null","Aro","","7"
"194","245","245","null","Aro","","7"
"195","246","246","null","Aro","","7"
"1366","25","25","null","Rover","","99"
"1324","25","25","null","Renault","","96"
"1692","260","260","null","Volvo","","125"
"1367","2600","2600","null","Rover","","99"
"1781","2705","2705","null","ГАЗ","","134"
"1832","2715","2715","null","ИЖ","","140"
"1833","2717","2717","null","ИЖ","","140"
"1763","2723","2723","null","ВАЗ","","132"
"1782","2752","2752","null","ГАЗ","","134"
"1119","280ZX","280ZX","null","Nissan","","85"
"1848","2901","2901","null","Москвич","","142"
"2094","2DX","2DX","null","","","3"
"971","3","3","null","Mazda","","77"
"232","3 series","3 series","null","BMW","","11"
"1325","30","30","null","Renault","","96"
"1648","300","300","null","Venturi","","123"
"1051","3000 GT","3000 GT","null","Mitsubishi","","82"
"372","300C","300C","null","Chrysler","","22"
"373","300M","300M","null","Chrysler","","22"
"1120","300ZX","300ZX","null","Nissan","","85"
"1254","305","305","null","Peugeot","","91"
"1255","306","306","null","Peugeot","","91"
"1256","307","307","null","Peugeot","","91"
"1257","308","308","null","Peugeot","","91"
"545","308","308","null","Ferrari","","38"
"1783","3102","3102","null","ГАЗ","","134"
"1948","310290","310290","null","ГАЗ","","134"
"1784","3103","3103","null","ГАЗ","","134"
"1785","3104","3104","null","ГАЗ","","134"
"1786","3105","3105","null","ГАЗ","","134"
"1787","3106","3106","null","ГАЗ","","134"
"1788","3110","3110","null","ГАЗ","","134"
"1789","31105","31105","null","ГАЗ","","134"
"1790","3111","3111","null","ГАЗ","","134"
"1791","3120","3120","null","ГАЗ","","134"
"1792","3129","3129","null","ГАЗ","","134"
"1313","315","315","null","Proton","","95"
"1864","3150","3150","null","УАЗ","","143"
"1865","3151","3151","null","УАЗ","","143"
"1866","31512","31512","null","УАЗ","","143"
"1867","31514","31514","null","УАЗ","","143"
"1969","315148 ","315148 ","null","УАЗ","","143"
"1868","31519","31519","null","УАЗ","","143"
"1870","3153","3153","null","УАЗ","","143"
"1871","3159","3159","null","УАЗ","","143"
"2236","316","316","null","BMW","","11"
"1872","3160","3160","null","УАЗ","","143"
