"id","name"
"7","Федеральный, без региональной структуры"
"8","Федеральный, с региональной структурой"
"10","Группа региональных органов власти"
"12","Группа организаций"
"13","Региональный со структурой"
"14","Организация со структурой"
"15","Группа муниципальных органов"
"16","Группа федеральных органов власти"
"17","Группа надрегиональных"
"18","Региональный, без структуры"
"19","Группа региональных организаций"
"20","Муниципальный, без структуры"
"21","Организация, без структуры"
"22","Организация, c региональной структурой"
"23","Надрегиональный, без структуры"
"24","Федеральный, со структурой"
