subj_full,fed_district_full,fed_district_short,subj_alt_rus,subj_eng,subj_rus,col,row,dataset_subj,Площадь чиновника,Площадь средняя,Промышленность,Инфраструктура,Торговля и сервис,Услуги,Бюджетный сектор
Алтайский край,Сибирский федеральный округ,СФО,Ал. к.,ALK,АЛТК,12,5,Алтайский край,558.7,23.1,94 600 859,72 377 791,75 361 529,68 355 067,84 075 398
Амурская область,Дальневосточный федеральный округ,ДФО,Амур,AMU,АМУР,15,3,Амурская область,22 956 428,45 598 950,9 690 480,105 691 823,34 091 941,20 230 844,49 333 883
Архангельская область,Северо-Западный федеральный округ,СЗФО,Арх,ARH,АРХ,8,2,Архангельская область,32 654 716,206 679 633,95 442 771,144 397 920,58 671 416,55 057 254,90 456 285
Астраханская область,Южный федеральный округ,ЮФО,Аст,AST,АСТ,7,8,Астраханская область,25 585 414,95 578 289,14 205 320,78 146 285,42 262 321,32 817 293,50 084 530
Белгородская область,Центральный федеральный округ,ЦФО,Бел,BEL,БЕЛ,4,7,Белгородская область,142 613 256,80 102 785,152 959 735,112 032 659,114 818 309,60 642 501,67 392 777
Брянская область,Центральный федеральный округ,ЦФО,Бря,BRN,БРН,2,5,Брянская область,49 320 346,181 377,51 671 277,51 805 464,61 730 050,26 982 617,44 156 760
Владимирская область,Центральный федеральный округ,ЦФО,Вла,VLA,ВЛА,5,4,Владимирская область,21 614 669,1 233 160,142 273 115,62 725 395,52 071 791,57 861 522,54 272 147
Волгоградская область,Южный федеральный округ,ЮФО,Волг,VGG,ВЛГГ,6,7,Волгоградская область,106 610 351,35 362 725,183 752 599,132 158 455,99 429 620,84 485 678,101 484 323
Вологодская область,Северо-Западный федеральный округ,СЗФО,Воло,VGD,ВЛГД,4,2,Вологодская область,24 780 693,186 738,182 928 212,121 447 740,61 432 332,42 633 628,52 801 919
Воронежская область,Центральный федеральный округ,ЦФО,Вор,VRN,ВРН,5,7,Воронежская область,122 905 825,3 462 544,122 420 769,162 303 894,176 217 596,155 606 132,98 458 994
Еврейская автономная область,Дальневосточный федеральный округ,ДФО,Евр,YEV,ЕВР,15,4,Еврейская автономная область,5 199 679,1 053 369,2 410 181,16 120 766,4 776 941,4 475 941,12 835 294
Забайкальский край,Сибирский федеральный округ,СФО,Заб,ZAB,ЗАБ,14,5,Забайкальский край,14 500 153,36 686 602,9 939 971,87 885 558,33 079 685,18 978 331,61 731 581
Ивановская область,Центральный федеральный округ,ЦФО,Ива,IVA,ИВА,5,3,Ивановская область,8 511 506,415 734,30 455 191,27 098 117,45 872 524,29 540 729,37 739 597
Иркутская область,Сибирский федеральный округ,СФО,Ирк,IRK,ИРК,14,3,Иркутская область,64 275 942,279 238 125,131 367 034,253 513 467,105 138 762,92 857 858,142 333 379
Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,СКФО,Каб,KBR,КБР,4,10,Кабардино-Балкарская Республика,23 465 346,185 698,17 112 486,26 486 748,27 222 429,6 883 454,31 350 738
Калининградская область,Северо-Западный федеральный округ,СЗФО,Кали,KLN,КЛН,0,3,Калининградская область,25 178 968,11 997 462,89 731 074,77 147 349,52 140 623,73 211 314,53 672 377
Калужская область,Центральный федеральный округ,ЦФО,Калу,KLG,КЛЖ,3,4,Калужская область,25 191 394,1 559 688,137 928 249,55 570 900,51 465 719,52 102 174,49 585 367
Камчатский край,Дальневосточный федеральный округ,ДФО,Кам,KAM,КАМ,17,1,Камчатский край,43 773 715,15 250 291,20 123 976,32 919 362,18 743 149,15 231 163,52 079 374
Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,СКФО,Кара,KCH,КЧР,4,9,Карачаево-Черкесская Республика,17 748 330,1 649 182,9 765 552,12 183 839,8 271 381,4 063 339,19 469 712
Кемеровская область,Сибирский федеральный округ,СФО,Кем,KEM,КЕМ,13,3,Кемеровская область,33 164 059,255 821 074,141 814 052,137 756 729,90 175 274,78 678 794,120 688 377
Кировская область,Приволжский федеральный округ,ПФО,Кир,KIR,КИР,8,3,Кировская область,25 345 776,882 686,83 532 349,49 328 826,43 303 055,34 130 953,54 466 685
Костромская область,Центральный федеральный округ,ЦФО,Кос,KOS,КОСТ,6,3,Костромская область,14 520 998,133 522,35 867 156,35 032 736,27 379 973,17 564 678,30 206 344
Краснодарский край,Южный федеральный округ,ЮФО,Крдр,KRD,КРНД,4,8,Краснодарский край,270 770 733,14 483 161,230 432 218,551 993 049,411 134 797,285 984 130,251 136 615
Красноярский край,Сибирский федеральный округ,СФО,Крас,KRN,КРСН,13,2,Красноярский край,68 978 282,337 371 503,563 539 417,333 578 927,136 607 615,138 280 553,189 551 913
Курганская область,Уральский федеральный округ,УФО,Кург,KRG,КУРГ,11,4,Курганская область,25 099 887,2 011 205,42 784 085,48 994 993,20 587 871,15 346 585,39 070 462
Курская область,Центральный федеральный округ,ЦФО,Курск,KSK,КРСК,3,6,Курская область,67 215 002,31 401 560,74 926 537,72 006 828,36 144 593,33 606 824,49 300 311
Ленинградская область,Северо-Западный федеральный округ,СЗФО,Лен,LEN,ЛЕН,2,2,Ленинградская область,55 888 790,5 437 603,281 518 875,277 886 108,113 734 341,101 594 216,77 765 787
Липецкая область,Центральный федеральный округ,ЦФО,Лип,LIP,ЛИП,4,6,Липецкая область,60 634 345,2 272 775,197 695 761,66 128 183,51 831 922,44 744 597,46 931 757
Магаданская область,Дальневосточный федеральный округ,ДФО,Маг,MAG,МАГ,16,2,Магаданская область,9 900 448,57 090 906,2 459 523,26 762 166,13 146 023,9 152 806,28 407 623
Москва,Центральный федеральный округ,ЦФО,Мск,MSK,МСК,0,1,Москва,8 837 277,0,1 720 597 227,2 461 421 619,4 225 201 492,4 477 858 970,1 405 883 967
Московская область,Центральный федеральный округ,ЦФО,Мос,MOB,МОБЛ,4,4,Московская область,64 553 022,6 426 234,745 587 940,617 956 257,967 890 384,724 267 844,438 576 330
Мурманская область,Северо-Западный федеральный округ,СЗФО,Мур,MUR,МУР,4,0,Мурманская область,49 147 457,70 183 456,39 182 969,101 430 335,49 319 491,42 016 626,74 550 876
Ненецкий автономный округ,Северо-Западный федеральный округ,СЗФО,Нен,NEN,НЕН,9,1,Ненецкий автономный округ (Архангельская область),2 285 618,190 373 311,674 322,43 852 801,2 303 713,8 272 895,7 733 961
Нижегородская область,Приволжский федеральный округ,ПФО,Ниж,NIZ,НИЖ,6,4,Нижегородская область,46 584 326,1 042 518,363 439 795,225 225 415,199 613 123,209 373 373,136 986 409
Новгородская область,Северо-Западный федеральный округ,СЗФО,Новг,NVG,НОВГ,3,2,Новгородская область,20 814 484,2 605 658,84 929 691,59 227 307,24 434 339,20 864 501,31 625 220
Новосибирская область,Сибирский федеральный округ,СФО,Ново,NSK,НСК,12,4,Новосибирская область,53 575 969,20 212 175,145 364 616,259 313 575,192 984 355,266 266 333,146 917 980
Омская область,Сибирский федеральный округ,СФО,Омск,OMS,ОМСК,11,5,Омская область,57 684 360,2 486 606,233 676 157,95 256 464,77 957 865,72 625 112,86 231 581
Оренбургская область,Приволжский федеральный округ,ПФО,Орен,ORE,ОРЕН,8,6,Оренбургская область,80 733 966,266 321 477,101 322 163,129 587 463,64 860 229,46 418 982,82 863 046
Орловская область,Центральный федеральный округ,ЦФО,Орёл,ORL,ОРЛ,3,5,Орловская область,41 577 784,293 299,38 252 284,46 725 656,33 055 965,17 959 481,36 059 537
Пензенская область,Приволжский федеральный округ,ПФО,Пен,PNZ,ПЕНЗ,6,6,Пензенская область,48 591 725,544 026,71 004 152,60 903 810,60 635 107,45 135 303,51 774 900
Пермский край,Приволжский федеральный округ,ПФО,Пер,PER,ПЕРМ,9,3,Пермский край,25 485 766,184 351 899,345 963 256,150 848 848,139 548 667,124 010 767,121 059 478
Приморский край,Дальневосточный федеральный округ,ДФО,При,PRI,ПРИМ,16,5,Приморский край,73 271 047,9 444 765,64 886 735,239 746 679,145 863 192,93 351 208,110 322 547
Псковская область,Северо-Западный федеральный округ,СЗФО,Пск,PSK,ПСК,2,3,Псковская область,15 709 948,568 370,25 328 607,33 477 520,24 998 490,14 547 311,29 784 178
Республика Адыгея,Южный федеральный округ,ЮФО,Адыг,ADG,АДГ,3,8,Республика Адыгея (Адыгея),14 559 031,886 143,16 527 238,12 059 153,14 830 671,14 202 470,18 287 695
Республика Алтай,Сибирский федеральный округ,СФО,Алт,ALR,АЛТР,12,6,Республика Алтай,8 296 027,503 578,2 632 203,8 776 796,7 646 114,4 415 452,13 858 214
Республика Башкортостан,Приволжский федеральный округ,ПФО,Бшк,BAS,БАШ,9,5,Республика Башкортостан,102 973 143,50 216 249,370 563 758,277 830 051,224 835 434,147 734 803,170 206 697
Республика Бурятия,Сибирский федеральный округ,СФО,Бур,BUR,БУР,14,4,Республика Бурятия,9 682 512,11 040 144,24 574 753,51 534 254,36 112 191,17 437 254,48 844 406
Республика Дагестан,Северо-Кавказский федеральный округ,СКФО,Даг,DAG,ДАГ,7,9,Республика Дагестан,100 934 320,2 126 251,26 045 242,157 319 150,192 690 131,26 717 951,91 263 659
Республика Ингушетия,Северо-Кавказский федеральный округ,СКФО,Инг,ING,ИНГ,6,10,Республика Ингушетия*,5 292 568,710 774,4 125 671,12 085 653,5 347 391,2 787 002,20 533 806
Республика Калмыкия,Южный федеральный округ,ЮФО,Калм,KLM,КАЛМ,6,8,Республика Калмыкия,17 914 194,608 221,634 617,15 941 128,4 418 446,3 416 176,13 112 302
Республика Карелия,Северо-Западный федеральный округ,СЗФО,Кар,KRL,КРЛ,3,1,Республика Карелия,14 758 441,28 895 512,41 993 424,52 439 464,26 091 565,22 825 571,46 445 810
Республика Коми,Северо-Западный федеральный округ,СЗФО,Коми,KOM,КОМИ,9,2,Республика Коми,10 504 029,191 568 398,64 003 604,118 663 593,31 086 168,57 607 264,73 462 207
Республика Крым,Южный федеральный округ,ЮФО,Крым,KRM,КРЫМ,2,8,Республика Крым,42 150 027,6 994 845,28 702 379,58 305 627,57 446 751,45 727 040,76 591 819
Республика Марий Эл,Приволжский федеральный округ,ПФО,Мари,MAR,МАР,7,3,Республика Марий Эл,27 049 981,172 661,47 714 571,22 089 495,20 113 600,19 218 622,24 105 067
